역사_ID,역사명,호선,위도,경도
9007,수서,수도권 광역급행철도,37.48637,127.10161
9006,삼성,수도권 광역급행철도,37.50887,127.06324
9005,서울,수도권 광역급행철도,37.55569,126.97296
9004,연신내,수도권 광역급행철도,37.61878,126.9213
9002,대곡,수도권 광역급행철도,37.63191,126.81113
4929,김포공항,김포골드라인,37.56236,126.801868
4928,고촌,김포골드라인,37.601243,126.770345
4807,신천,서해선,37.439066,126.786788
4806,시흥대야,서해선,37.450145,126.793041
4805,소새울,서해선,37.468467,126.797252
4804,소사,서해선,37.483279,126.795023
4713,신설동,우이신설선,37.576095,127.023242
4712,보문,우이신설선,37.585286,127.019381
4711,성신여대입구(돈암),우이신설선,37.592467,127.016516
4710,정릉,우이신설선,37.603133,127.013396
4709,북한산보국문,우이신설선,37.612072,127.008251
4708,솔샘,우이신설선,37.620238,127.013626
4707,삼양사거리,우이신설선,37.621337,127.020473
4706,삼양,우이신설선,37.626914,127.018106
4705,화계,우이신설선,37.634133,127.017511
4704,가오리,우이신설선,37.641537,127.016789
4703,4.19민주묘지,우이신설선,37.649502,127.013684
4702,솔밭공원,우이신설선,37.65603,127.013273
4701,북한산우이,우이신설선,37.662909,127.012706
4411,관악산(서울대),신림선,37.4691018,126.9450639
4410,서울대벤처타운,신림선,37.4720019,126.9339351
4409,서원,신림선,37.4782341,126.9330365
4408,신림,신림선,37.4849266,126.9296159
4407,당곡,신림선,37.4902998,126.9275133
4406,보라매병원,신림선,37.4929598,126.9234964
4405,보라매공원,신림선,37.4955691,126.9180827
4404,보라매,신림선,37.5002739,126.9204355
4403,서울지방병무청,신림선,37.5060464,126.9227083
4402,대방,신림선,37.5133059,126.9257265
4401,샛강,신림선,37.5170969,126.929399
4310,청계산입구,신분당선,37.447211,127.055664
4309,양재시민의숲(매헌),신분당선,37.470023,127.03842
4308,양재(서초구청),신분당선,37.483809,127.034653
4307,강남,신분당선,37.496837,127.028104
4306,신논현,신분당선(연장2),37.504598,127.02506
4305,논현,신분당선(연장2),37.511093,127.021415
4304,신사,신분당선(연장2),37.516334,127.020114
4207,김포공항,공항철도1호선,37.561842,126.801904
4206,마곡나루,공항철도1호선,37.565543,126.827378
4204,디지털미디어시티,공항철도1호선,37.576958,126.898609
4203,홍대입구,공항철도1호선,37.557438,126.926715
4202,공덕,공항철도1호선,37.54253,126.952024
4201,서울역,공항철도1호선,37.553247,126.969769
4138,중앙보훈병원,9호선(연장),37.529191,127.148739
4137,둔촌오륜,9호선(연장),37.519683,127.137989
4136,올림픽공원(한국체대),9호선(연장),37.516269,127.130288
4135,한성백제,9호선(연장),37.516404,127.116503
4134,송파나루,9호선(연장),37.510372,127.112216
4133,석촌,9호선(연장),37.505208,127.10704
4132,석촌고분,9호선(연장),37.502558,127.097033
4131,삼전,9호선(연장),37.504738,127.088025
4130,종합운동장,9호선(연장),37.511426,127.076275
4129,봉은사,9호선(연장),37.514219,127.060245
4128,삼성중앙,9호선(연장),37.513011,127.053282
4127,선정릉,9호선(연장),37.510297,127.043999
4126,언주,9호선(연장),37.507287,127.033868
4125,신논현,9호선,37.504598,127.02506
4124,사평,9호선,37.504206,127.015259
4123,고속터미널,9호선,37.50598,127.004403
4122,신반포,9호선,37.503415,126.995925
4121,구반포,9호선,37.501364,126.987332
4120,동작(현충원),9호선,37.502878,126.978153
4119,흑석(중앙대입구),9호선,37.50877,126.963708
4118,노들,9호선,37.512887,126.953222
4117,노량진,9호선,37.513534,126.941005
4116,샛강,9호선,37.517274,126.928422
4115,여의도,9호선,37.52176,126.92403
4114,국회의사당,9호선,37.528105,126.917874
4113,당산,9호선,37.533406,126.902809
4112,선유도,9호선,37.53802,126.893525
4111,신목동,9호선,37.544277,126.88308
4110,염창,9호선,37.546936,126.874916
4109,등촌,9호선,37.550632,126.865689
4108,증미,9호선,37.557402,126.861939
4107,가양,9호선,37.561391,126.854456
4106,양천향교,9호선,37.568381,126.841333
4105,마곡나루,9호선,37.566778,126.82731
4104,신방화,9호선,37.567532,126.816601
4103,공항시장,9호선,37.563726,126.810678
4102,김포공항,9호선,37.561916,126.802152
4101,개화,9호선,37.578608,126.798153
3756,신중동,7호선(인천),37.50282,126.77566
3755,춘의,7호선(인천),37.50365,126.78828
3754,부천종합운동장,7호선(인천),37.50502,126.79661
3753,까치울,7호선(인천),37.50613,126.81093
2828,남위례,8호선,37.4624,127.13977
2827,모란,8호선,37.433824,127.129837
2826,수진,8호선,37.437428,127.140722
2825,신흥,8호선,37.440918,127.147564
2824,단대오거리,8호선,37.44521,127.156866
2823,남한산성입구(성남법원.검찰청),8호선,37.451535,127.159816
2822,산성,8호선,37.457122,127.149908
2821,복정,8호선,37.471052,127.126732
2820,장지,8호선,37.478703,127.126191
2819,문정,8호선,37.485855,127.1225
2818,가락시장,8호선,37.492888,127.118398
2817,송파,8호선,37.499703,127.112183
2816,석촌,8호선,37.505557,127.106832
2815,잠실(송파구청),8호선,37.514692,127.104338
2814,몽촌토성(평화의문),8호선,37.517409,127.112359
2813,강동구청,8호선,37.530341,127.120508
2812,천호(풍납토성),8호선,37.538113,127.123254
2811,암사,8호선,37.55021,127.127562
2810,암사역사공원,8호선,37.55695,127.13702
